,milestone,time,memory
0,start,2.44759,147.091456
1,loading data,2.45297,147.091456
2,data loaded,2.545581,125.968384
3,Start preparing fold0,2.545629,125.968384
4,Start tuning0,2.567123,112.283648
5,End tuning0,6.073963,112.738304
6,end testing0,11.249612,112.852992
7,end reporting0,38.711453,181.989376
8,Start preparing fold1,38.711496,181.989376
9,Start tuning1,38.72913,152.18688
10,End tuning1,42.175508,146.41152
11,end testing1,47.225437,146.878464
12,end reporting1,73.347233,183.169024
13,Start preparing fold2,73.347279,183.169024
14,Start tuning2,73.364404,169.230336
15,End tuning2,76.095383,169.230336
16,end testing2,81.312426,161.656832
17,end reporting2,104.900171,188.96896
18,Start preparing fold3,104.900219,188.96896
19,Start tuning3,104.91737,166.7072
20,End tuning3,107.975566,166.7072
21,end testing3,113.132317,166.711296
22,end reporting3,135.216763,189.93152
23,Start preparing fold4,135.216806,189.93152
24,Start tuning4,135.234331,159.760384
25,End tuning4,137.984639,159.760384
26,end testing4,143.271974,153.976832
27,end reporting4,164.628891,182.02624
28,Start preparing fold5,164.628935,182.02624
29,Start tuning5,164.646691,146.169856
30,End tuning5,166.986052,146.169856
31,end testing5,172.342291,146.612224
32,end reporting5,194.222612,188.362752
33,Start preparing fold6,194.222654,188.362752
34,Start tuning6,194.23923,174.395392
35,End tuning6,196.541172,174.395392
36,end testing6,201.811516,174.395392
37,end reporting6,232.902276,191.082496
38,Start preparing fold7,232.90232,191.082496
39,Start tuning7,232.919578,168.910848
40,End tuning7,236.154508,168.910848
41,end testing7,241.380986,168.972288
42,end reporting7,268.891232,195.366912
43,Start preparing fold8,268.891277,195.366912
44,Start tuning8,268.907473,181.10464
45,End tuning8,270.590037,181.10464
46,end testing8,276.135252,181.10464
47,end reporting8,302.996478,192.47104
48,Start preparing fold9,302.996521,192.47104
49,Start tuning9,303.014272,162.308096
50,End tuning9,305.3177,162.308096
51,end testing9,310.813608,162.308096
52,end reporting9,333.497974,198.569984
